Time [s],Value,Parity Error,Framing Error
-8.307716190000001,\0,,Error
-0.000987610000000,1,,
-0.000900732000000,6,,
-0.000813858000000,\n,,
0.000011480000000,1,,
0.000098356000000,6,,
0.000185234000000,\n,,
0.001019256000000,1,,
0.001106134000000,6,,
0.001193010000000,\n,,
0.002018348000000,1,,
0.002105224000000,6,,
0.002192100000000,\n,,
0.003017436000000,1,,
0.003104314000000,6,,
0.003191192000000,\n,,
0.004016526000000,1,,
0.004103402000000,6,,
0.004190280000000,\n,,
0.005015616000000,1,,
0.005102494000000,6,,
0.005189370000000,\n,,
0.006014706000000,1,,
0.006101582000000,6,,
0.006188460000000,\n,,
0.007013796000000,1,,
0.007100672000000,6,,
0.007187550000000,\n,,
0.008012886000000,1,,
0.008099762000000,6,,
0.008186638000000,\n,,
0.009011974000000,1,,
0.009098850000000,6,,
0.009185728000000,\n,,
0.010011064000000,1,,
0.010097942000000,6,,
0.010184818000000,\n,,
0.011018842000000,1,,
0.011105718000000,6,,
0.011192596000000,\n,,
0.012017932000000,1,,
0.012104808000000,6,,
0.012191686000000,\n,,
0.013017022000000,1,,
0.013103898000000,6,,
0.013190776000000,\n,,
0.014016112000000,1,,
0.014102988000000,6,,
0.014189864000000,\n,,
0.015015200000000,1,,
0.015102076000000,6,,
0.015188954000000,\n,,
0.016014290000000,1,,
0.016101166000000,6,,
0.016188044000000,\n,,
0.017013378000000,1,,
0.017100256000000,6,,
0.017187134000000,\n,,
0.018012470000000,1,,
0.018099346000000,6,,
0.018186224000000,\n,,
0.019011560000000,1,,
0.019098436000000,6,,
0.019185314000000,\n,,
0.020019336000000,1,,
0.020106214000000,6,,
0.020193090000000,\n,,
0.021018428000000,1,,
0.021105304000000,6,,
0.021192180000000,\n,,
0.022017516000000,1,,
0.022104394000000,6,,
0.022191270000000,\n,,
0.023016606000000,1,,
0.023103484000000,6,,
0.023190360000000,\n,,
0.024015696000000,1,,
0.024102572000000,6,,
0.024189450000000,\n,,
0.025014786000000,1,,
0.025101662000000,6,,
0.025188540000000,\n,,
0.026013876000000,1,,
0.026100752000000,6,,
0.026187628000000,\n,,
0.027012964000000,1,,
0.027099842000000,6,,
0.027186718000000,\n,,
0.028012054000000,1,,
0.028098930000000,6,,
0.028185808000000,\n,,
0.029011144000000,1,,
0.029098020000000,6,,
0.029184896000000,\n,,
0.030018922000000,1,,
0.030105798000000,6,,
0.030192674000000,\n,,
0.031018010000000,1,,
0.031104888000000,6,,
0.031191766000000,\n,,
0.032017102000000,1,,
0.032103978000000,6,,
0.032190854000000,\n,,
0.033016190000000,1,,
0.033103066000000,6,,
0.033189944000000,\n,,
0.034015280000000,1,,
0.034102156000000,6,,
0.034189034000000,\n,,
0.035014370000000,1,,
0.035101246000000,6,,
0.035188124000000,\n,,
0.036022148000000,1,,
0.036109024000000,6,,
0.036195902000000,\n,,
0.037012550000000,1,,
0.037099426000000,6,,
0.037186304000000,\n,,
0.038011640000000,1,,
0.038098516000000,6,,
0.038185392000000,\n,,
0.039019416000000,1,,
0.039106294000000,6,,
0.039193172000000,\n,,
0.040018506000000,1,,
0.040105382000000,6,,
0.040192260000000,\n,,
0.041017596000000,1,,
0.041104472000000,6,,
0.041191350000000,\n,,
0.042016684000000,1,,
0.042103562000000,6,,
0.042190440000000,\n,,
0.043024464000000,1,,
0.043111340000000,6,,
0.043198218000000,\n,,
0.044014866000000,1,,
0.044101742000000,6,,
0.044188618000000,\n,,
0.045013954000000,1,,
0.045100832000000,6,,
0.045187708000000,\n,,
0.046013044000000,1,,
0.046099920000000,6,,
0.046186798000000,\n,,
0.047012134000000,1,,
0.047099012000000,6,,
0.047185888000000,\n,,
0.048019912000000,1,,
0.048106788000000,6,,
0.048193666000000,\n,,
0.049019002000000,1,,
0.049105878000000,6,,
0.049192756000000,\n,,
0.050018092000000,1,,
0.050104968000000,6,,
0.050191844000000,\n,,
0.051017180000000,1,,
0.051104058000000,6,,
0.051190936000000,\n,,
0.052016270000000,1,,
0.052103146000000,6,,
0.052190026000000,\n,,
0.053015362000000,1,,
0.053102236000000,6,,
0.053189112000000,\n,,
0.054014450000000,1,,
0.054101326000000,6,,
0.054188204000000,\n,,
0.055013540000000,1,,
0.055100416000000,6,,
0.055187294000000,\n,,
0.056021318000000,1,,
0.056108194000000,6,,
0.056195070000000,\n,,
0.057011718000000,1,,
0.057098594000000,6,,
0.057185474000000,\n,,
0.058019496000000,1,,
0.058106372000000,6,,
0.058193250000000,\n,,
0.059018586000000,1,,
0.059105462000000,6,,
0.059192340000000,\n,,
0.060017676000000,1,,
0.060104552000000,6,,
0.060191430000000,\n,,
0.061016766000000,1,,
0.061103642000000,6,,
0.061190520000000,\n,,
0.062015856000000,1,,
0.062102732000000,6,,
