Time [s],Value,Parity Error,Framing Error
0.001273606000000,2,,
0.001360484000000,8,,
0.001447360000000,8,,
0.001534238000000,\n,,
0.003280476000000,2,,
0.003367354000000,8,,
0.003454228000000,8,,
0.003541106000000,\n,,
0.005278658000000,2,,
0.005365534000000,8,,
0.005452412000000,8,,
0.005539290000000,\n,,
0.007276838000000,2,,
0.007363716000000,8,,
0.007450594000000,8,,
0.007537472000000,\n,,
0.009275022000000,2,,
0.009361898000000,8,,
0.009448776000000,8,,
0.009535652000000,\n,,
0.011273202000000,2,,
0.011360080000000,8,,
0.011446956000000,8,,
0.011533834000000,\n,,
0.013280072000000,2,,
0.013366948000000,8,,
0.013453826000000,8,,
0.013540704000000,\n,,
0.015278254000000,2,,
0.015365130000000,8,,
0.015452008000000,8,,
0.015538886000000,\n,,
0.017267748000000,2,,
0.017354626000000,8,,
0.017441502000000,8,,
0.017528380000000,\n,,
0.019274618000000,2,,
0.019361496000000,8,,
0.019448372000000,8,,
0.019535250000000,\n,,
0.021272800000000,2,,
0.021359676000000,8,,
0.021446554000000,8,,
0.021533430000000,\n,,
0.023279668000000,2,,
0.023366546000000,8,,
0.023453424000000,8,,
0.023540300000000,\n,,
0.025277850000000,2,,
0.025364728000000,8,,
0.025451606000000,8,,
0.025538482000000,\n,,
0.027276032000000,2,,
0.027362908000000,8,,
0.027449788000000,8,,
0.027536666000000,\n,,
0.029274214000000,2,,
0.029361092000000,8,,
0.029447968000000,8,,
0.029534846000000,\n,,
0.031272396000000,2,,
0.031359274000000,8,,
0.031446150000000,8,,
0.031533028000000,\n,,
0.033279264000000,2,,
0.033366142000000,8,,
0.033453020000000,8,,
0.033539898000000,\n,,
0.035277448000000,2,,
0.035364324000000,8,,
0.035451202000000,8,,
0.035538080000000,\n,,
0.037275630000000,2,,
0.037362506000000,8,,
0.037449384000000,8,,
0.037536260000000,\n,,
0.039273812000000,2,,
0.039360688000000,8,,
0.039447566000000,8,,
0.039534442000000,\n,,
0.041280680000000,2,,
0.041367558000000,8,,
0.041454434000000,8,,
0.041541312000000,\n,,
0.043278862000000,2,,
0.043365740000000,8,,
0.043452616000000,8,,
0.043539496000000,\n,,
0.045277044000000,2,,
0.045363922000000,8,,
0.045450798000000,8,,
0.045537676000000,\n,,
0.047275226000000,2,,
0.047362102000000,8,,
0.047448980000000,8,,
0.047535858000000,\n,,
0.049273408000000,2,,
0.049360284000000,8,,
0.049447162000000,8,,
0.049534040000000,\n,,
0.051280278000000,2,,
0.051367154000000,8,,
0.051454032000000,8,,
0.051540910000000,\n,,
0.053269770000000,2,,
0.053356648000000,8,,
