Time [s],Value,Parity Error,Framing Error
0.000184744000000,2,,
0.000271618000000,8,,
0.000358496000000,8,,
0.000445374000000,\n,,
0.002182924000000,2,,
0.002269802000000,8,,
0.002356678000000,8,,
0.002443556000000,\n,,
0.004181106000000,2,,
0.004267982000000,8,,
0.004354860000000,8,,
0.004441738000000,\n,,
0.006187974000000,2,,
0.006274852000000,8,,
0.006361730000000,8,,
0.006448606000000,\n,,
0.008186158000000,2,,
0.008273034000000,8,,
0.008359912000000,8,,
0.008446790000000,\n,,
0.010184340000000,2,,
0.010271216000000,8,,
0.010358094000000,8,,
0.010444970000000,\n,,
0.012182522000000,2,,
0.012269398000000,8,,
0.012356276000000,8,,
0.012443154000000,\n,,
0.014180702000000,2,,
0.014267580000000,8,,
0.014354458000000,8,,
0.014441334000000,\n,,
0.016187572000000,2,,
0.016274450000000,8,,
0.016361328000000,8,,
0.016448204000000,\n,,
0.018185754000000,2,,
0.018272632000000,8,,
0.018359510000000,8,,
0.018446386000000,\n,,
0.020183936000000,2,,
0.020270814000000,8,,
0.020357690000000,8,,
0.020444568000000,\n,,
0.022182118000000,2,,
0.022268996000000,8,,
0.022355874000000,8,,
0.022442750000000,\n,,
0.024188988000000,2,,
0.024275866000000,8,,
0.024362742000000,8,,
0.024449620000000,\n,,
0.026187170000000,2,,
0.026274048000000,8,,
0.026360924000000,8,,
0.026447802000000,\n,,
0.028185352000000,2,,
0.028272228000000,8,,
0.028359106000000,8,,
0.028445984000000,\n,,
0.030183534000000,2,,
0.030270410000000,8,,
0.030357288000000,8,,
0.030444164000000,\n,,
0.032181716000000,2,,
0.032268592000000,8,,
0.032355470000000,8,,
0.032442348000000,\n,,
0.034188586000000,2,,
0.034275462000000,8,,
0.034362338000000,8,,
0.034449218000000,\n,,
0.036186768000000,2,,
0.036273644000000,8,,
0.036360522000000,8,,
0.036447398000000,\n,,
0.038184950000000,2,,
0.038271826000000,8,,
0.038358704000000,8,,
0.038445582000000,\n,,
0.040183130000000,2,,
0.040270008000000,8,,
0.040356886000000,8,,
0.040443762000000,\n,,
0.042181312000000,2,,
0.042268190000000,8,,
0.042355068000000,8,,
0.042441944000000,\n,,
0.044188182000000,2,,
0.044275060000000,8,,
0.044361936000000,8,,
0.044448814000000,\n,,
0.046186364000000,2,,
0.046273240000000,8,,
0.046360118000000,8,,
0.046446996000000,\n,,
0.048193234000000,2,,
0.048280110000000,8,,
0.048366988000000,8,,
0.048453866000000,\n,,
0.050182728000000,2,,
0.050269604000000,8,,
0.050356482000000,8,,
0.050443360000000,\n,,
0.052189598000000,2,,
0.052276474000000,8,,
0.052363352000000,8,,
0.052450230000000,\n,,
0.054187780000000,2,,
0.054274656000000,8,,
0.054361534000000,8,,
0.054448412000000,\n,,
0.056185962000000,2,,
0.056272838000000,8,,
0.056359716000000,8,,
0.056446594000000,\n,,
0.058184144000000,2,,
0.058271020000000,8,,
0.058357898000000,8,,
0.058444776000000,\n,,
0.060182324000000,2,,
0.060269202000000,8,,
0.060356080000000,8,,
0.060442956000000,\n,,
0.062189194000000,2,,
0.062276072000000,8,,
0.062362948000000,8,,
0.062449826000000,\n,,
0.064187376000000,2,,
0.064274254000000,8,,
0.064361132000000,8,,
0.064448008000000,\n,,
0.066185558000000,2,,
0.066272434000000,8,,
0.066359312000000,8,,
0.066446190000000,\n,,
0.068183740000000,2,,
0.068270618000000,8,,
0.068357494000000,8,,
0.068444372000000,\n,,
0.070181922000000,2,,
0.070268798000000,8,,
0.070355678000000,8,,
0.070442554000000,\n,,
0.072188792000000,2,,
0.072275668000000,8,,
0.072362546000000,8,,
0.072449424000000,\n,,
0.074186974000000,2,,
0.074273850000000,8,,
0.074360728000000,8,,
0.074447604000000,\n,,
0.076185156000000,2,,
0.076272032000000,8,,
0.076358910000000,8,,
0.076445786000000,\n,,
0.078183338000000,2,,
0.078270214000000,8,,
0.078357092000000,8,,
0.078443968000000,\n,,
0.080181520000000,2,,
0.080268396000000,8,,
0.080355272000000,8,,
0.080442150000000,\n,,
0.082188390000000,2,,
0.082275266000000,8,,
0.082362144000000,8,,
0.082449022000000,\n,,
0.084186570000000,2,,
0.084273448000000,8,,
0.084360324000000,8,,
0.084447204000000,\n,,
0.086184752000000,2,,
0.086271630000000,8,,
0.086358508000000,8,,
0.086445384000000,\n,,
0.088182934000000,2,,
0.088269810000000,8,,
0.088356688000000,8,,
0.088443566000000,\n,,
0.090189804000000,2,,
0.090276680000000,8,,
0.090363560000000,8,,
0.090450436000000,\n,,
0.092187986000000,2,,
0.092274864000000,8,,
0.092361740000000,8,,
0.092448618000000,\n,,
0.094186168000000,2,,
0.094273044000000,8,,
0.094359922000000,8,,
0.094446800000000,\n,,
0.096184350000000,2,,
0.096271226000000,8,,
0.096358104000000,8,,
0.096444982000000,\n,,
0.098182532000000,2,,
0.098269408000000,8,,
0.098356286000000,8,,
0.098443164000000,\n,,
0.100189400000000,2,,
0.100276278000000,8,,
0.100363156000000,8,,
0.100450032000000,\n,,
0.102187584000000,2,,
0.102274460000000,8,,
0.102361338000000,8,,
0.102448214000000,\n,,
0.104185766000000,2,,
0.104272642000000,8,,
0.104359520000000,8,,
0.104446396000000,\n,,
0.106183948000000,2,,
0.106270824000000,8,,
0.106357702000000,8,,
0.106444580000000,\n,,
0.108182130000000,2,,
0.108269006000000,8,,
0.108355882000000,8,,
0.108442760000000,\n,,
0.110188998000000,2,,
0.110275876000000,8,,
0.110362754000000,8,,
0.110449630000000,\n,,
0.112187180000000,2,,
0.112274058000000,8,,
0.112360934000000,8,,
0.112447812000000,\n,,
0.114185362000000,2,,
0.114272240000000,8,,
0.114359116000000,8,,
0.114445994000000,\n,,
0.116183544000000,2,,
0.116270420000000,8,,
0.116357298000000,8,,
0.116444176000000,\n,,
0.118190414000000,2,,
0.118277292000000,8,,
0.118364168000000,8,,
0.118451046000000,\n,,
0.120188596000000,2,,
0.120275472000000,8,,
0.120362350000000,8,,
0.120449228000000,\n,,
0.122186778000000,2,,
0.122273654000000,8,,
0.122360532000000,8,,
0.122447408000000,\n,,
0.124184960000000,2,,
0.124271836000000,8,,
0.124358714000000,8,,
0.124445592000000,\n,,
0.126183142000000,2,,
0.126270018000000,8,,
0.126356896000000,8,,
0.126443772000000,\n,,
0.128181324000000,2,,
0.128268200000000,8,,
0.128355078000000,8,,
