Time [s],Channel 1
-0.001201390,1
0.000173826,0
0.002173542,1
0.004173146,0
0.006174864,1
0.008175532,0
0.010174018,1
0.012174728,0
0.014173716,1
0.016173488,0
0.018174392,1
0.020173998,0
0.022174090,1
0.024174362,0
0.026173872,1
0.028173724,0
0.030175694,1
0.032174424,0
0.034173598,1
0.036173808,0
0.038174296,1
0.040174068,0
0.042174056,1
0.044174744,0
0.046174460,1
0.048178484,0
0.050173868,1
0.052174554,0
0.054174314,1
0.056174252,0
0.058174322,1
0.060174992,0
0.062174832,1
0.064175064,0
0.066173884,1
0.068174406,0
0.070174498,1
0.072174104,0
0.074174612,1
0.076174966,0
0.078174956,1
0.080174956,0
0.082175194,1
0.084175090,0
0.086173704,1
0.088173724,0
0.090174900,1
0.092173734,0
0.094174994,1
0.096177182,0
0.098174816,1
0.100176004,0
0.102174306,1
0.104174410,0
0.106175002,1
0.108174940,0
0.110174950,1
0.112174970,0
0.114175230,1
0.116174064,0
0.118176240,1
0.120175678,0
0.122175020,1
0.124174916,0
0.126174718,1
0.128174490,0
0.130174498,1
0.132175956,0
0.134176152,1
0.136176278,0
0.138175310,1
0.140175394,0
0.142175152,1
0.144175590,0
0.146174766,1
0.148175122,0
0.150175046,1
0.152175840,0
0.154175264,1
0.156175578,0
0.158175274,1
0.160174880,0
0.162174388,1
0.164174472,0
0.166174730,1
0.168175940,0
0.170175636,1
0.172175534,0
0.174180792,1
0.176174398,0
0.178174238,1
0.180174594,0
0.182174602,1
0.184177874,0
0.186179154,1
0.188174552,0
0.190175060,1
0.192185416,0
0.194174506,1
0.196175028,0
0.198174620,1
0.200175226,0
0.202177318,1
0.204179820,0
0.206179348,1
0.208175036,0
0.210180774,1
0.212175484,0
0.214175388,1
0.216175160,0
0.218175002,1
0.220180024,0
0.222180908,1
0.224179910,0
0.226177792,1
0.228183732,0
0.230175010,1
0.232175450,0
0.234175040,1
0.236174792,0
0.238176634,1
0.240179822,0
0.242175498,1
0.244175770,0
0.246183258,1
0.248174800,0
0.250175392,1
0.252175080,0
0.254175088,1
0.256182340,0
0.258179994,1
0.260179746,0
0.262179734,1
0.264182776,0
0.266175160,1
0.268175016,0
0.270175272,1
0.272175794,0
0.274176324,1
0.276179346,0
0.278175334,1
0.280177252,0
0.282176198,1
0.284175532,0
0.286175624,1
0.288175896,0
0.290175488,1
0.292175760,0
0.294179290,1
0.296175374,0
0.298174966,1
0.300181530,0
0.302175746,1
0.304176686,0
0.306176194,1
0.308176300,0
0.310175952,1
0.312177226,0
0.314176068,1
0.316176088,0
0.318175346,1
0.320175620,0
0.322175628,1
0.324176066,0
0.326176408,1
