Time [s],Value,Parity Error,Framing Error
-0.000910972000000,4,,
-0.000900528000000,8,,
-0.000890084000000,.,,
-0.000879632000000,0,,
-0.000869188000000,0,,
-0.000858736000000,\n,,
0.000102840000000,4,,
0.000113292000000,8,,
0.000123740000000,.,,
0.000134184000000,0,,
0.000144628000000,0,,
0.000155076000000,\n,,
0.001055008000000,4,,
0.001065456000000,7,,
0.001075912000000,.,,
0.001086364000000,9,,
0.001096816000000,9,,
0.001107264000000,\n,,
0.002099008000000,4,,
0.002109456000000,7,,
0.002119900000000,.,,
0.002130348000000,9,,
0.002140788000000,9,,
0.002151236000000,\n,,
0.003055432000000,4,,
0.003065876000000,7,,
0.003076328000000,.,,
0.003086772000000,9,,
0.003097220000000,8,,
0.003107676000000,\n,,
0.004099592000000,4,,
0.004110040000000,7,,
0.004120488000000,.,,
0.004130936000000,9,,
0.004141388000000,8,,
0.004151840000000,\n,,
0.005055028000000,4,,
0.005065472000000,7,,
0.005075920000000,.,,
0.005086364000000,9,,
0.005096812000000,7,,
0.005107256000000,\n,,
0.006102116000000,4,,
0.006112568000000,7,,
0.006123020000000,.,,
0.006133464000000,9,,
0.006143912000000,7,,
0.006154356000000,\n,,
0.007055480000000,4,,
0.007065928000000,7,,
0.007076376000000,.,,
0.007086820000000,9,,
0.007097268000000,6,,
0.007107712000000,\n,,
0.008098908000000,4,,
0.008109356000000,7,,
0.008119808000000,.,,
0.008130248000000,9,,
0.008140704000000,6,,
0.008151148000000,\n,,
0.009056684000000,4,,
0.009067132000000,7,,
0.009077576000000,.,,
0.009088024000000,9,,
0.009098468000000,5,,
0.009108912000000,\n,,
0.010098612000000,4,,
0.010109064000000,7,,
0.010119508000000,.,,
0.010129956000000,9,,
0.010140404000000,5,,
0.010150852000000,\n,,
0.011055280000000,4,,
0.011065724000000,7,,
0.011076180000000,.,,
0.011086624000000,9,,
0.011097080000000,4,,
0.011107528000000,\n,,
0.012100968000000,4,,
0.012111412000000,7,,
0.012121860000000,.,,
0.012132304000000,9,,
0.012142748000000,4,,
0.012153200000000,\n,,
0.013055120000000,4,,
0.013065568000000,7,,
0.013076016000000,.,,
0.013086460000000,9,,
0.013096908000000,3,,
0.013107360000000,\n,,
0.014099460000000,4,,
0.014109900000000,7,,
0.014120348000000,.,,
0.014130796000000,9,,
0.014141244000000,3,,
0.014151692000000,\n,,
0.015057180000000,4,,
0.015067628000000,7,,
0.015078084000000,.,,
0.015088536000000,9,,
0.015098988000000,2,,
0.015109436000000,\n,,
0.016054004000000,4,,
0.016064452000000,7,,
0.016074896000000,.,,
0.016085340000000,9,,
0.016095784000000,2,,
0.016106228000000,\n,,
0.017052444000000,4,,
0.017062888000000,7,,
0.017073336000000,.,,
0.017083784000000,9,,
0.017094232000000,1,,
0.017104680000000,\n,,
0.018054748000000,4,,
0.018065196000000,7,,
0.018075644000000,.,,
0.018086092000000,9,,
0.018096536000000,1,,
0.018106980000000,\n,,
0.019052436000000,4,,
0.019062888000000,7,,
0.019073336000000,.,,
0.019083788000000,9,,
0.019094236000000,0,,
0.019104688000000,\n,,
0.020048156000000,4,,
0.020058604000000,7,,
0.020069052000000,.,,
0.020079500000000,9,,
0.020089952000000,0,,
0.020100396000000,\n,,
0.021048036000000,4,,
0.021058484000000,7,,
0.021068932000000,.,,
0.021079380000000,8,,
0.021089828000000,9,,
0.021100284000000,\n,,
0.022048464000000,4,,
0.022058908000000,7,,
0.022069356000000,.,,
0.022079800000000,8,,
0.022090252000000,9,,
0.022100704000000,\n,,
0.023046572000000,4,,
0.023057016000000,7,,
0.023067460000000,.,,
0.023077904000000,8,,
0.023088352000000,8,,
0.023098796000000,\n,,
0.024049868000000,4,,
0.024060308000000,7,,
0.024070752000000,.,,
0.024081196000000,8,,
0.024091644000000,8,,
0.024102088000000,\n,,
0.025046432000000,4,,
0.025056872000000,7,,
0.025067320000000,.,,
