Time [s],Channel 1
-3.924024512,0
0.001010224,1
0.002006284,0
0.002006288,1
0.002006292,0
0.003009732,1
0.004012276,0
0.005009840,1
0.006012768,0
0.006012772,1
0.006012776,0
0.007009684,1
0.008010664,0
0.008010668,1
0.008010672,0
0.009011744,1
0.010010368,0
0.010010372,1
0.010010376,0
0.011009604,1
0.012010508,0
0.012010580,1
0.012010588,0
0.013013440,1
0.014010496,0
0.015009208,1
0.016010796,0
0.016010800,1
0.016010804,0
0.017010668,1
0.018011116,0
0.019010276,1
0.020005148,0
0.021004576,1
0.022011264,0
0.022011268,1
0.022011272,0
0.023005724,1
0.024003216,0
0.024003220,1
0.024003224,0
0.025005108,1
0.026004404,0
0.027004568,1
0.028004820,0
0.029004640,1
0.030006572,0
0.030006576,1
0.030006580,0
0.031004656,1
0.032006580,0
0.032006648,1
0.032006660,0
0.033004772,1
0.034004784,0
0.034004788,1
0.034004792,0
0.035005944,1
0.036005460,0
0.036005464,1
0.036005468,0
0.037007648,1
0.038005956,0
0.038006032,1
0.038006036,0
0.038031692,1
0.038031700,0
0.039004812,1
0.040004612,0
0.040004616,1
0.040004620,0
0.041010752,1
0.042004976,0
0.043006692,1
0.044008104,0
0.044008108,1
0.044008112,0
0.045005688,1
0.046005000,0
0.047004928,1
0.048002288,0
0.048002292,1
0.048002296,0
0.049005160,1
0.050004864,0
0.051007460,1
0.052004440,0
0.053004952,1
0.054006140,0
0.055004612,1
0.056006744,0
0.057005232,1
0.058004744,0
0.059004912,1
0.060004724,0
0.060004728,1
0.060004732,0
0.061013724,1
0.062012096,0
0.063007548,1
0.064005620,0
0.064005624,1
0.064005628,0
0.065005120,1
0.066004956,0
0.067004776,1
0.068005208,0
0.069014296,1
0.070010972,0
0.070010976,1
0.070010980,0
0.071007208,1
0.072005132,0
0.073011056,1
0.074005164,0
0.074030812,1
0.074030820,0
0.075005216,1
0.076005192,0
0.076005196,1
0.076005200,0
0.077004912,1
0.078007644,0
0.079004724,1
0.080004940,0
0.080005016,1
0.080005020,0
0.081004636,1
0.082004960,0
0.083005240,1
0.084005020,0
0.085017540,1
0.086005100,0
0.087004980,1
0.088005148,0
0.089005124,1
0.090005232,0
0.090005300,1
0.090005312,0
0.091004600,1
0.092007676,0
0.092007680,1
0.092007684,0
0.093006060,1
0.094006844,0
0.094006848,1
0.094006852,0
0.095005612,1
0.096005652,0
0.096005656,1
0.096005660,0
0.097005628,1
0.098005648,0
0.098005652,1
0.098005656,0
0.099006316,1
0.100005600,0
0.100005672,1
0.100005684,0
0.101005800,1
0.102006032,0
0.103013272,1
0.104014520,0
0.104014588,1
0.104014600,0
0.105006120,1
0.106007900,0
0.106007904,1
0.106007908,0
0.107006188,1
0.108006140,0
0.108006144,1
0.108006148,0
0.109004856,1
0.110012112,0
0.111012148,1
0.112006344,0
0.112006348,1
0.112006352,0
0.113006016,1
0.114006144,0
0.114006148,1
0.114006152,0
0.115006020,1
0.116015008,0
0.117012572,1
0.118009064,0
0.119006080,1
0.120006432,0
0.121006284,1
0.122005416,0
0.122005480,1
0.122005492,0
0.123005216,1
0.124004948,0
0.125008736,1
0.126007168,0
0.127006460,1
0.128006032,0
0.129006184,1
0.130003884,0
0.130029636,1
0.130029644,0
0.131005512,1
0.132006332,0
0.133008544,1
0.134006380,0
0.134006384,1
0.134006388,0
0.135006440,1
0.136006104,0
0.137006108,1
0.138004480,0
0.139006568,1
0.140009868,0
0.141005684,1
0.142005448,0
0.143006176,1
0.144006280,0
0.144006284,1
0.144006288,0
0.145006212,1
0.146004992,0
0.147009140,1
