Time [s],Channel 0
-0.000000000,1
0.002000044,0
0.003999988,1
0.006000092,0
0.008000060,1
0.009999912,0
0.012000112,1
0.013999964,0
0.016000140,1
0.018000012,0
0.019999980,1
0.022000084,0
0.024000176,1
0.026000132,0
0.028000228,1
0.030000224,0
0.032000068,1
0.034000256,0
0.036000116,1
0.038000304,0
0.040000148,1
0.042000124,0
0.044000216,1
0.046000320,0
0.048000268,1
0.050000372,0
0.052000360,1
0.054003464,0
0.056002576,1
0.058016680,0
0.060001024,1
0.062015876,0
0.064015508,1
0.066001384,0
0.068017392,1
0.070001268,0
0.072010944,1
0.074016924,0
0.076002600,1
0.078005368,0
0.080010668,1
0.082001752,0
0.084016408,1
0.086012428,0
0.088000856,1
0.090016460,0
0.092001468,1
0.094016344,0
0.096017064,1
0.098002832,0
0.100013508,1
0.102006132,0
0.104001228,1
0.106017124,0
0.108002632,1
0.110006008,0
0.112011352,1
0.114001040,0
0.116017548,1
0.118013880,0
0.120001224,1
0.122016244,0
0.124001692,1
0.126015632,0
0.128015016,1
0.130011620,0
0.132005628,1
0.134009920,0
0.136001180,1
0.138014928,0
0.140012024,1
0.142001544,0
0.144008324,1
0.146002180,0
0.148015188,1
0.150017332,0
0.152001260,1
0.154012200,0
0.156002312,1
0.158005520,0
0.160007736,1
0.162017924,0
0.164002520,1
0.166007308,0
0.168001320,1
0.170016924,0
0.172016556,1
0.174012996,0
0.176013340,1
0.178002796,0
0.180010808,1
0.182017972,0
0.184001564,1
0.186006836,0
0.188017512,1
0.190011368,0
0.192017440,1
0.194017876,0
0.196001304,1
0.198006596,0
0.200010272,1
0.202004624,0
0.204017928,1
0.206017448,0
0.208001312,1
0.210009832,0
0.212002256,1
0.214001592,0
0.216003016,1
0.218016872,0
0.220014568,1
0.222017756,0
0.224017932,1
0.226001912,0
0.228002256,1
0.230007380,0
0.232001972,1
0.234015908,0
0.236017984,1
0.238012420,0
0.240017760,1
0.242018220,0
0.244002064,1
0.246009960,0
0.248005804,1
0.250001656,0
0.252013436,1
0.254018540,0
0.256002132,1
0.258013800,0
0.260018060,1
0.262001996,0
0.264017444,1
0.266018884,0
0.268008684,1
0.270018620,0
0.272015964,1
0.274001756,0
0.276002016,1
0.278003368,0
0.280003272,1
0.282017960,0
0.284018388,1
0.286010844,0
0.288015188,1
0.290008084,0
0.292007596,1
0.294018200,0
0.296018644,1
0.298007748,0
0.300010072,1
0.302009092,0
0.304009436,1
0.306011956,0
0.308015300,1
0.310010172,0
0.312005808,1
0.314011580,0
0.316015860,1
0.318016716,0
0.320018640,1
0.322013204,0
0.324003484,1
0.326002836,0
0.328013344,1
0.330009784,0
0.332019732,1
0.334015460,0
0.336006636,1
0.338003492,0
0.340016936,1
0.342012624,0
0.344018760,1
0.346017360,0
0.348005808,1
0.350007080,0
0.352018256,1
0.354008256,0
0.356019432,1
0.358018788,0
0.360004128,1
0.362002752,0
0.364018680,1
0.366004912,0
0.368019004,1
0.370019524,0
0.372003800,1
0.374016660,0
0.376015564,1
0.378006168,0
0.380017700,1
0.382018552,0
0.384002832,1
0.386002936,0
0.388018884,1
0.390003236,0
0.392018828,1
0.394018788,0
0.396003216,1
0.398011796,0
0.400014724,1
0.402003828,0
0.404017940,1
0.406019212,0
0.408003764,1
0.410003032,0
0.412017128,1
0.414003148,0
0.416018096,1
0.418019616,0
0.420003268,1
0.422014456,0
0.424009052,1
0.426003008,0
0.428018436,1
0.430019248,0
0.432006256,1
0.434003360,0
0.436014392,1
0.438003244,0
0.440020004,1
0.442019588,0
0.444003264,1
0.446016452,0
0.448007648,1
0.450004668,0
0.452019972,1
0.454019576,0
0.456008500,1
0.458005540,0
0.460013216,1
0.462006468,0
0.464018728,1
0.466019332,0
0.468007172,1
0.470016048,0
0.472006892,1
0.474009452,0
0.476018464,1
0.478019652,0
0.480011848,1
0.482003452,0
0.484009440,1
0.486010460,0
0.488015908,1
0.490020012,0
0.492011272,1
0.494013540,0
0.496005508,1
0.498013696,0
0.500012956,1
0.502020748,0
0.504016588,1
0.506003672,0
0.508006848,1
0.510015536,0
0.512013236,1
0.514019504,0
0.516017680,1
0.518010908,0
0.520003772,1
0.522018188,0
0.524007720,1
0.526017156,0
0.528019980,1
0.530003748,0
0.532007676,1
0.534019716,0
0.536009144,1
0.538020124,0
0.540020132,1
0.542004568,0
0.544004496,1
0.546020120,0
0.548003964,1
0.550017212,0
0.552020224,1
0.554003908,0
0.556008272,1
0.558020044,0
0.560004676,1
0.562018364,0
0.564019040,1
0.566005584,0
0.568008924,1
0.570010864,0
0.572004684,1
0.574014120,0
0.576020048,1
0.578004256,0
0.580014680,1
0.582010828,0
0.584005172,1
0.586017772,0
0.588018888,1
0.590007492,0
0.592013836,1
0.594008832,0
0.596008260,1
0.598011280,0
0.600019312,1
0.602005332,0
0.604017632,1
0.606007320,0
0.608009912,1
0.610016704,0
0.612018796,1
0.614005796,0
0.616017888,1
0.618008096,0
0.620011504,1
0.622012712,0
0.624020472,1
0.626004864,0
0.628018124,1
0.630008564,0
0.632010844,1
0.634018112,0
0.636020600,1
0.638006872,0
0.640015796,1
0.642008424,0
0.644014932,1
0.646012120,0
0.648020420,1
0.650008440,0
0.652013200,1
0.654007076,0
0.656014252,1
0.658017336,0
0.660020928,1
0.662011300,0
0.664010560,1
0.666004580,0
0.668016260,1
0.670010488,0
0.672021080,1
0.674013432,0
0.676008796,1
0.678007816,0
0.680012556,1
0.682014828,0
0.684021084,1
0.686016296,0
0.688006636,1
0.690006824,0
0.692016292,1
0.694005812,0
0.696021324,1
0.698018112,0
0.700005120,1
0.702007204,0
0.704014716,1
0.706011484,0
0.708020516,1
0.710021036,0
0.712005336,1
0.714007608,0
0.716018700,1
0.718005136,0
0.720020500,1
0.722021604,0
0.724005676,1
0.726008636,0
0.728017708,1
0.730007748,0
0.732020256,1
0.734021236,0
0.736005496,1
0.738012600,0
0.740021128,1
0.742005400,0
0.744020412,1
0.746021744,0
0.748005336,1
0.750012772,0
0.752019304,1
0.754005844,0
0.756019208,1
0.758021228,0
0.760004988,1
0.762008612,0
0.764014956,1
0.766011144,0
0.768019880,1
0.770021568,0
0.772005660,1
0.774012284,0
0.776012292,1
0.778012108,0
0.780019032,1
0.782021388,0
0.784005248,1
0.786010372,0
0.788014592,1
0.790016028,0
0.792018120,1
0.794021392,0
0.796005424,1
0.798012612,0
0.800011660,1
0.802014116,0
0.804017376,1
0.806020816,0
0.808005428,1
0.810010992,0
0.812015916,1
0.814011188,0
0.816018052,1
0.818021152,0
0.820005916,1
0.822008248,0
0.824012840,1
0.826013612,0
0.828015640,1
0.830021744,0
0.832005712,1
0.834007732,0
0.836017324,1
0.838012200,0
0.840016208,1
0.842022396,0
0.844005800,1
0.846007320,0
0.848016332,1
0.850013540,0
0.852015380,1
0.854022276,0
0.856011536,1
0.858006056,0
0.860020172,1
0.862013440,0
0.864014096,1
0.866021868,0
0.868009960,1
0.870006148,0
0.872015592,1
0.874015280,0
0.876013748,1
0.878021684,0
0.880018028,1
0.882006152,0
0.884021576,1
0.886014912,0
0.888013752,1
0.890021356,0
0.892020220,1
0.894005824,0
0.896015916,1
0.898016060,0
0.900012824,1
0.902020760,0
0.904022956,1
0.906006308,0
0.908022132,1
0.910017484,0
0.912011244,1
0.914020452,0
0.916023212,1
0.918006396,0
0.920019864,1
0.922020384,0
0.924008812,1
0.926018188,0
0.928022448,1
0.930006196,0
0.932021788,1
0.934017476,0
0.936008004,1
0.938017776,0
0.940022660,1
0.942006284,0
0.944021712,1
0.946022396,0
0.948006656,1
0.950015784,0
0.952022748,1
0.954006352,0
0.956022780,1
0.958023820,0
0.960017912,1
0.962022164,0
0.964018672,1
0.966018692,0
0.968020972,1
0.970012492,0
0.972019500,1
0.974019732,0
0.976020156,1
0.978020008,0
0.980018040,1
0.982011728,0
0.984019548,1
0.986017756,0
0.988019912,1
0.990021620,0
0.992015044,1
0.994013564,0
0.996017784,1
0.998015388,0
1.000020564,1
1.002018856,0
1.004013196,1
1.006014948,0
1.008017124,1
1.010014308,0
1.012019504,1
1.014019028,0
1.016011868,1
1.018016016,0
1.020014524,1
1.022011564,0
1.024022656,1
1.026018512,0
1.028010332,1
1.030015520,0
1.032012112,1
1.034009320,0
1.036021248,1
1.038020348,0
1.040007984,1
1.042014692,0
1.044011368,1
1.046007472,0
1.048021416,1
1.050018732,0
1.052007404,1
1.054017592,0
1.056008708,1
1.058007392,0
1.060022860,1
1.062020652,0
1.064007244,1
