Time [s],Value,Parity Error,Framing Error
-0.001992952000000,9,,
-0.001906076000000,6,,
-0.001819198000000,\n,,
0.000013920000000,9,,
0.000100796000000,6,,
0.000187674000000,\n,,
0.002012104000000,9,,
0.002098980000000,6,,
0.002185858000000,\n,,
0.004010288000000,9,,
0.004097164000000,6,,
0.004184042000000,\n,,
0.006008472000000,9,,
0.006095348000000,6,,
0.006182226000000,\n,,
0.008006656000000,9,,
0.008093532000000,6,,
0.008180410000000,\n,,
0.010013526000000,9,,
0.010100404000000,6,,
0.010187282000000,\n,,
0.012011712000000,9,,
0.012098588000000,6,,
0.012185466000000,\n,,
0.014009896000000,9,,
0.014096772000000,6,,
0.014183650000000,\n,,
0.016008080000000,9,,
0.016094956000000,6,,
0.016181836000000,\n,,
0.018014952000000,9,,
0.018101828000000,6,,
0.018188706000000,\n,,
0.020013136000000,9,,
0.020100012000000,6,,
0.020186892000000,\n,,
0.022011320000000,9,,
0.022098198000000,6,,
0.022185074000000,\n,,
0.024009504000000,9,,
0.024096382000000,6,,
0.024183258000000,\n,,
0.026007688000000,9,,
0.026094566000000,6,,
0.026181442000000,\n,,
0.028014560000000,9,,
0.028101438000000,6,,
0.028188314000000,\n,,
0.030012744000000,9,,
0.030099622000000,6,,
0.030186498000000,\n,,
0.032010930000000,9,,
0.032097806000000,6,,
0.032184684000000,\n,,
0.034009114000000,9,,
0.034095990000000,6,,
0.034182868000000,\n,,
0.036007298000000,9,,
0.036094176000000,6,,
0.036181052000000,\n,,
0.038014170000000,9,,
0.038101046000000,6,,
0.038187924000000,\n,,
0.040012354000000,9,,
0.040099230000000,6,,
0.040186108000000,\n,,
0.042010538000000,9,,
0.042097416000000,6,,
0.042184292000000,\n,,
0.044008722000000,9,,
0.044095598000000,6,,
0.044182476000000,\n,,
0.046006906000000,9,,
0.046093784000000,6,,
0.046180660000000,\n,,
0.048013778000000,9,,
0.048100654000000,6,,
0.048187532000000,\n,,
0.050011962000000,9,,
0.050098840000000,6,,
0.050185718000000,\n,,
0.052010146000000,9,,
0.052097024000000,6,,
0.052183900000000,\n,,
0.054008332000000,9,,
0.054095208000000,6,,
0.054182086000000,\n,,
0.056006514000000,9,,
0.056093392000000,6,,
0.056180270000000,\n,,
0.058013386000000,9,,
0.058100264000000,6,,
0.058187140000000,\n,,
0.060011572000000,9,,
0.060098450000000,6,,
0.060185324000000,\n,,
0.062009756000000,9,,
0.062096632000000,6,,
0.062183510000000,\n,,
0.064007940000000,9,,
0.064094816000000,6,,
0.064181692000000,\n,,
0.066014812000000,9,,
0.066101688000000,6,,
0.066188566000000,\n,,
0.068012994000000,9,,
0.068099872000000,6,,
0.068186750000000,\n,,
0.070011180000000,9,,
0.070098056000000,6,,
0.070184934000000,\n,,
0.072009362000000,9,,
0.072096242000000,6,,
0.072183118000000,\n,,
0.074007548000000,9,,
0.074094424000000,6,,
0.074181302000000,\n,,
0.076014420000000,9,,
0.076101296000000,6,,
0.076188174000000,\n,,
0.078012604000000,9,,
0.078099480000000,6,,
0.078186358000000,\n,,
0.080010788000000,9,,
0.080097664000000,6,,
0.080184542000000,\n,,
0.082008972000000,9,,
0.082095848000000,6,,
0.082182726000000,\n,,
0.084007156000000,9,,
0.084094034000000,6,,
0.084180910000000,\n,,
0.086014028000000,9,,
0.086100906000000,6,,
0.086187782000000,\n,,
0.088012212000000,9,,
0.088099090000000,6,,
0.088185968000000,\n,,
0.090010396000000,9,,
0.090097274000000,6,,
0.090184154000000,\n,,
0.092008580000000,9,,
0.092095458000000,6,,
0.092182336000000,\n,,
0.094015452000000,9,,
0.094102330000000,6,,
0.094189208000000,\n,,
0.096013636000000,9,,
0.096100514000000,6,,
0.096187392000000,\n,,
0.098011820000000,9,,
0.098098698000000,6,,
0.098185576000000,\n,,
0.100010004000000,9,,
0.100096882000000,6,,
0.100183760000000,\n,,
0.102008190000000,9,,
0.102095066000000,6,,
0.102181944000000,\n,,
0.104015062000000,9,,
0.104101936000000,6,,
0.104188816000000,\n,,
0.106013246000000,9,,
0.106100122000000,6,,
0.106187000000000,\n,,
0.108011428000000,9,,
0.108098308000000,6,,
0.108185184000000,\n,,
0.110009612000000,9,,
0.110096490000000,6,,
0.110183368000000,\n,,
0.112007798000000,9,,
0.112094676000000,6,,
0.112181552000000,\n,,
0.114014670000000,9,,
0.114101548000000,6,,
0.114188424000000,\n,,
0.116012854000000,9,,
0.116099730000000,6,,
0.116186608000000,\n,,
0.118011036000000,9,,
0.118097914000000,6,,
0.118184792000000,\n,,
0.120009222000000,9,,
0.120096098000000,6,,
0.120182976000000,\n,,
0.122007406000000,9,,
0.122094284000000,6,,
0.122181160000000,\n,,
0.124014278000000,9,,
0.124101156000000,6,,
0.124188032000000,\n,,
0.126012462000000,9,,
0.126099340000000,6,,
0.126186216000000,\n,,
0.128010646000000,9,,
0.128097524000000,6,,
0.128184402000000,\n,,
0.130008830000000,9,,
0.130095708000000,6,,
0.130182586000000,\n,,
0.132015702000000,9,,
0.132102580000000,6,,
0.132189456000000,\n,,
0.134013886000000,9,,
0.134100764000000,6,,
0.134187640000000,\n,,
0.136012072000000,9,,
0.136098948000000,6,,
0.136185826000000,\n,,
0.138010254000000,9,,
0.138097132000000,6,,
0.138184010000000,\n,,
0.140008438000000,9,,
0.140095316000000,6,,
0.140182194000000,\n,,
0.142015310000000,9,,
0.142102186000000,6,,
0.142189066000000,\n,,
0.144013494000000,9,,
0.144100370000000,6,,
0.144187250000000,\n,,
0.146011680000000,9,,
0.146098556000000,6,,
0.146185434000000,\n,,
0.148009862000000,9,,
0.148096740000000,6,,
0.148183618000000,\n,,
0.150008048000000,9,,
0.150094924000000,6,,
0.150181802000000,\n,,
0.152014918000000,9,,
0.152101796000000,6,,
0.152188672000000,\n,,
0.154013104000000,9,,
0.154099980000000,6,,
0.154186858000000,\n,,
0.156011288000000,9,,
0.156098164000000,6,,
0.156185042000000,\n,,
0.158009472000000,9,,
0.158096348000000,6,,
0.158183226000000,\n,,
0.160007656000000,9,,
0.160094534000000,6,,
0.160181410000000,\n,,
0.162014528000000,9,,
0.162101404000000,6,,
0.162188282000000,\n,,
0.164012712000000,9,,
0.164099588000000,6,,
0.164186466000000,\n,,
0.166010896000000,9,,
0.166097772000000,6,,
0.166184650000000,\n,,
0.168009080000000,9,,
0.168095956000000,6,,
0.168182834000000,\n,,
0.170007264000000,9,,
0.170094142000000,6,,
0.170181018000000,\n,,
