Time [s],Channel 1
-0.002261196,0
-0.001999732,1
0.000000000,0
0.002000200,1
0.003999952,0
0.005999922,1
0.008000196,0
0.009998790,1
0.012000148,0
0.013999992,1
0.015999434,0
0.018000194,1
0.020000072,0
0.021999978,1
0.024000150,0
0.026000242,1
0.028000330,0
0.030000008,1
0.032000386,0
0.034000250,1
0.036000026,0
0.038000140,1
0.040000018,0
0.042000114,1
0.044000324,0
0.046000294,1
0.047999400,0
0.049999244,1
0.051999208,0
0.053999656,1
0.056000118,0
0.058000004,1
0.059999612,0
0.061999518,1
0.064000272,0
0.066002198,1
0.068000014,0
0.070000422,1
0.071999382,0
0.074000290,1
0.076000190,0
0.078000136,1
0.080000472,0
0.082000256,1
0.084000364,0
0.086000520,1
0.088000460,0
0.090000494,1
0.092000412,0
0.094000486,1
0.096000552,0
0.098000438,1
0.100000734,0
0.101999390,1
0.104000476,0
0.106000716,1
0.108000596,0
0.109995438,1
0.112000942,0
0.114000828,1
0.116000874,0
0.118001280,1
0.119995428,0
0.122000628,1
0.124000216,0
0.126001308,1
0.128000562,0
0.130000990,1
0.132000950,0
0.134000982,1
0.136000778,0
0.138000746,1
0.140000708,0
0.142000990,1
0.144000806,0
0.146000838,1
0.148000946,0
0.150000872,1
0.152001104,0
0.154000260,1
0.156000536,0
0.158000796,1
0.160000904,0
0.162001374,1
0.164000752,0
0.166001012,1
0.168001100,0
0.169999922,1
0.172001072,0
0.174000998,1
0.176001210,0
0.178000492,1
0.180001330,0
0.182001236,1
0.184000802,0
0.186000980,1
0.188001170,0
0.190001076,1
0.192001704,0
0.194001446,1
0.196001260,0
0.198001314,1
0.200000816,0
0.202001078,1
0.204001394,0
0.206001070,1
0.208001012,0
0.210001334,1
0.212001192,0
0.214001328,1
0.216001310,0
0.218001362,1
0.220000220,0
0.222001086,1
0.224001152,0
0.226001266,1
0.228001666,0
0.230001176,1
0.232000512,0
0.234000462,1
0.236000986,0
0.238001202,1
0.239996020,0
0.242001322,1
0.244001596,0
0.246001296,1
0.248001382,0
0.250001290,1
0.252001728,0
0.254001176,1
0.256001264,0
0.258001546,1
0.260001174,0
0.262001204,1
0.264001750,0
0.266001824,1
0.268001556,0
0.270000754,1
0.272001696,0
0.274001560,1
0.275999042,0
0.278001950,1
0.280001452,0
0.282001422,1
0.284000654,0
0.286001080,1
0.288001898,0
0.289998596,1
0.292001828,0
0.294002152,1
0.296001656,0
0.298001166,1
0.300000148,0
0.302001596,1
0.304001744,0
0.306001944,1
0.308001280,0
0.310001936,1
0.312001858,0
0.314001908,1
0.316001850,0
0.318001840,1
0.320001738,0
0.322001834,1
0.324001920,0
0.326002056,1
0.328001872,0
0.330001714,1
0.332001968,0
0.334001832,1
0.336001796,0
0.338001868,1
0.340002102,0
0.342002194,1
0.344002074,0
0.346002126,1
0.348001420,0
0.350001680,1
0.352002226,0
0.354001424,1
0.356002490,0
0.358002252,1
0.360002214,0
0.362001556,1
0.364001372,0
0.366001278,1
0.368001698,0
0.370002104,1
0.372002336,0
0.374001828,1
0.375997310,0
0.378002508,1
0.380001512,0
0.382002564,1
0.384002504,0
0.386002162,1
0.388002206,0
0.390002174,1
0.392002388,0
0.394002522,1
0.396002526,0
0.398001704,1
0.400002728,0
0.402002738,1
0.404002762,0
0.406002584,1
0.408002566,0
0.410000702,1
0.412002644,0
0.414001780,1
0.416001740,0
0.418001876,1
0.420002504,0
0.422002786,1
0.424002706,0
0.426002968,1
0.428003054,0
0.430002732,1
0.432002754,0
0.434002744,1
0.436002666,0
0.438002822,1
0.440002782,0
0.442002918,1
0.444002964,0
0.446002870,1
0.448003020,0
0.450002218,1
0.452002970,0
0.454002690,1
0.456003068,0
0.458002724,1
0.460002062,0
0.462002864,1
0.464003178,0
0.466002648,1
0.468002652,0
0.470002994,1
0.472002812,0
0.474002946,1
0.476002908,0
0.478003084,1
0.480002630,0
0.482002932,1
0.484003144,0
0.486002906,1
0.488003074,0
0.490003210,1
0.492001858,0
0.494002078,1
0.496003080,0
0.498003238,1
0.500003032,0
0.502003188,1
0.504002858,0
0.506002286,1
0.508003352,0
0.510003050,1
0.512003116,0
0.514002938,1
0.516003400,0
0.518003306,1
0.520003372,0
0.522003508,1
0.524003448,0
0.526003418,1
0.528003420,0
0.530003244,1
0.532003498,0
0.534003404,1
0.536003574,0
0.538003668,1
0.540003420,0
0.542003140,1
0.544003538,0
0.546002610,1
0.548002906,0
0.550003520,1
0.552003546,0
0.554003680,1
0.556003412,0
0.558003590,1
0.560003490,0
0.562003604,1
0.564003732,0
0.566004138,1
0.568003434,0
0.570002778,1
0.572003488,0
0.574002208,1
0.576005356,0
0.578003576,1
0.580002538,0
0.582003736,1
0.584003760,0
0.586003688,1
0.588003648,0
0.590003658,1
0.592003600,0
0.594003652,1
0.596003758,0
0.598003726,1
0.600004064,0
0.602003700,1
0.604003558,0
0.606004068,1
0.608003800,0
0.610003768,1
0.612000460,0
0.614003970,1
0.616003868,0
0.618003922,1
0.620003946,0
0.622004040,1
0.624003000,0
0.626002990,1
0.628003160,0
0.629998754,1
0.632004466,0
0.634003872,1
0.636003938,0
0.638003344,1
0.640004034,0
0.642003254,1
0.644003840,0
0.646003976,1
0.648004478,0
0.650004094,1
0.652003826,0
0.654004274,1
0.656004068,0
0.658004162,1
0.660003416,0
0.662004176,1
0.664004326,0
0.666004064,1
0.668003338,0
0.670004286,1
0.672004498,0
0.674004028,1
0.676003554,0
0.678003522,1
0.680003964,0
0.682004264,1
0.684004102,0
0.686004174,1
0.688004198,0
0.690004208,1
0.692004336,0
0.694004452,1
0.696004558,0
0.698004256,1
0.700004384,0
0.702004292,1
0.704004462,0
0.706003096,1
0.708004662,0
0.710004068,1
0.712004322,0
0.714004394,1
0.716004336,0
0.718004472,1
0.720002224,0
0.722004338,1
0.724004550,0
0.726004436,1
0.728003772,0
0.730004054,1
0.732004078,0
0.734004318,1
0.736004466,0
0.738004498,1
0.740003648,0
0.742004760,1
0.744004452,0
0.746005086,1
0.748004612,0
0.750004454,1
0.752004854,0
0.754004696,1
0.756003202,0
0.758004982,1
0.760004798,0
0.762004974,1
0.764003790,0
0.766004758,1
0.768004534,0
0.770004940,1
0.772004776,0
0.774004120,1
0.776005038,0
0.778005092,1
0.780004906,0
0.782005000,1
0.784004606,0
0.786004950,1
0.788005330,0
0.790003256,1
0.792005134,0
0.794005146,1
0.796004816,0
0.798005116,1
0.800004974,0
0.802005110,1
0.804005468,0
0.806004540,1
0.808004458,0
0.810005158,1
0.812005098,0
0.814003566,1
0.816005278,0
0.818005602,1
0.820000062,0
0.822005260,1
0.824005492,0
0.826005690,1
0.828004402,0
0.830005578,1
0.832005228,0
0.834005634,1
0.836005430,0
0.838005752,1
0.840004568,0
0.842005432,1
0.844005498,0
0.846005466,1
0.848005344,0
0.850005794,1
0.852005316,0
0.854005222,1
0.856005330,0
0.858004424,1
0.860004614,0
0.862004582,1
0.864005272,0
0.866005430,1
0.868005162,0
0.870005568,1
0.872005238,0
0.874005666,1
0.876005542,0
0.878005512,1
0.880005348,0
0.882005358,1
0.884005446,0
0.886005600,1
0.888005624,0
0.890005448,1
0.892005762,0
0.894005168,1
0.896005632,0
0.898005724,1
0.900005436,0
0.902005488,1
0.904004574,0
0.906005772,1
0.908005734,0
0.910005474,1
0.912005852,0
0.914005590,1
0.916005760,0
0.918005750,1
0.920006044,0
0.922005534,1
0.924005558,0
0.926005798,1
0.928005926,0
0.930005582,1
0.932005836,0
0.934005782,1
0.936006016,0
0.938005316,1
0.940005194,0
0.942005560,1
0.944006146,0
0.946006262,1
0.948006284,0
0.950004920,1
0.952005340,0
0.954006204,1
0.956006166,0
0.958006176,1
0.960005886,0
0.962006398,1
0.964006422,0
0.966006662,1
0.968005746,0
0.970005820,1
0.972006072,0
0.974006146,1
0.976006170,0
0.978006472,1
0.980006474,0
0.982005360,1
0.984006216,0
0.986006540,1
0.988006252,0
0.990005720,1
0.992005808,0
0.994006816,1
0.996006632,0
0.998005684,1
1.000006522,0
1.002006488,1
1.004006304,0
1.006006628,1
1.008005236,0
1.010006246,1
1.012006478,0
1.014006404,1
1.016006470,0
1.018006292,1
1.020006504,0
1.022006056,1
1.024006684,0
1.026006798,1
1.028006490,0
1.030006480,1
1.032006774,0
1.034006762,1
1.036006204,0
1.038006526,1
1.040006280,0
1.042006520,1
1.044006606,0
1.046006824,1
1.048006744,0
1.050005712,1
1.052006214,0
1.054006622,1
1.056006772,0
1.058006324,1
1.060006116,0
1.062006712,1
1.064006694,0
1.066006746,1
1.068005936,0
1.070006738,1
1.072006762,0
1.074007002,1
1.076006588,0
1.078006764,1
1.080006226,0
1.082006528,1
1.084006864,0
1.086008292,1
1.088006420,0
1.090005888,1
1.092006892,0
1.094006964,1
1.096007050,0
1.098006874,1
1.100006982,0
1.102006680,1
1.104006952,0
1.106006816,1
1.108006818,0
1.110006830,1
1.112007146,0
1.114007052,1
1.116006846,0
1.118007148,1
1.120006318,0
1.122006204,1
1.124007060,0
1.126006884,1
1.128007158,0
1.130006710,1
1.132006962,0
1.134007202,1
1.136007434,0
1.138007048,1
1.140007198,0
1.142006438,1
1.144006086,0
1.146007054,1
1.148007266,0
1.150001672,1
1.152007008,0
1.154007310,1
1.156007104,0
1.158007490,1
1.160007576,0
1.162007628,1
1.164007570,0
1.166007310,1
1.168007270,0
1.170007510,1
1.172007638,0
1.174007210,1
1.176007256,0
1.178007640,1
1.180007664,0
1.182007340,1
1.184007512,0
1.186007042,1
1.188007336,0
1.190007390,1
1.192007622,0
1.194007424,1
1.196007656,0
1.198006938,1
1.200006712,0
1.202006512,1
1.204007432,0
1.206007402,1
1.208007800,0
1.210006956,1
1.212006834,0
1.214007616,1
1.216007848,0
1.218007608,1
1.220007466,0
1.222007746,1
1.224007728,0
1.226007634,1
1.228007930,0
1.230008274,1
1.232007298,0
1.234007828,1
1.236007416,0
1.238008072,1
1.240007888,0
1.242007792,1
1.244006962,0
1.246007888,1
1.248007788,0
1.250007278,1
1.252007344,0
1.254007750,1
1.256007940,0
1.258007784,1
1.260007850,0
1.262008006,1
1.264006968,0
1.266008040,1
1.268007814,0
1.270007844,1
1.272007952,0
1.274007962,1
1.276008298,0
1.278008038,1
1.280007042,0
1.282008134,1
1.284007138,0
1.286007252,1
1.288007192,0
1.290007620,1
1.292007060,0
1.294007590,1
1.296007158,0
1.298008044,1
1.300007588,0
1.302008078,1
1.304007914,0
1.306008486,1
1.308008406,0
1.310007936,1
1.312008606,0
1.314008242,1
1.316008412,0
1.318008650,1
1.320008300,0
1.322008184,1
1.324008418,0
1.326007656,1
1.328007952,0
1.330008692,1
1.332008174,0
1.334008578,1
1.336008416,0
1.338008822,1
1.340008782,0
1.342008982,1
1.344008318,0
1.346008598,1
1.348008830,0
1.350008674,1
1.352008574,0
1.354008750,1
1.356008794,0
1.358008430,1
1.360008704,0
1.362007610,1
1.364009092,0
1.366008686,1
1.368009064,0
1.370008512,1
1.372009076,0
1.374009006,1
1.376008592,0
1.378009060,1
1.380009396,0
1.382007844,1
1.384003764,0
1.386009044,1
1.388008966,0
1.390006226,1
1.392008790,0
1.394008008,1
1.396008720,0
1.398009064,1
1.400008380,0
1.402008702,1
1.404008538,0
1.406008842,1
1.408008844,0
1.410008812,1
1.412009002,0
1.414008868,1
1.416008850,0
1.418009068,1
1.420009218,0
1.422009310,1
1.424009002,0
1.426008886,1
1.428008994,0
1.430009046,1
1.432008050,0
1.434008122,1
1.436008188,0
1.438008718,1
1.440008930,0
1.442009044,1
1.444009214,0
1.446009078,1
1.448009124,0
1.450009362,1
1.452009490,0
1.454009376,1
1.456009338,0
1.458009598,1
1.460009330,0
1.462009340,1
1.464009406,0
1.466009374,1
1.468008730,0
1.470009304,1
1.472009120,0
1.474009526,1
1.476009300,0
1.478009476,1
1.480009814,0
1.482009260,1
1.484009348,0
1.486009128,1
1.488009256,0
1.490009058,1
1.492009436,0
1.494009466,1
1.496009304,0
1.498009460,1
1.500008900,0
1.502009452,1
1.504009600,0
1.506009632,1
1.508009178,0
1.510008980,1
1.512009502,0
1.514008972,1
1.516009100,0
1.518009422,1
1.520004134,0
1.522009956,1
1.524009148,0
1.526009720,1
1.528010078,0
1.530009608,1
1.532009570,0
1.534009412,1
1.536009478,0
1.538009822,1
1.540009804,0
1.542009710,1
1.544009692,0
1.546008786,1
1.548010456,0
1.550009736,1
1.552009822,0
1.554009750,1
1.556009836,0
1.558010014,1
1.560007162,0
1.562009882,1
1.564009070,0
1.566008790,1
1.568009086,0
1.570009846,1
1.572009870,0
1.574009526,1
1.576009550,0
1.578009038,1
1.580007978,0
1.582010344,1
1.584010116,0
1.586010210,1
1.588010110,0
1.590009788,1
1.592010018,0
1.594010424,1
1.596011658,0
1.598009750,1
1.600009816,0
1.602010076,1
1.604009996,0
1.606010132,1
1.608010156,0
1.610007916,1
1.612009940,0
1.614010242,1
1.616010640,0
1.618010464,1
1.620009530,0
1.622010436,1
1.624010126,0
1.626010178,1
1.628010388,0
1.630010400,1
1.632010172,0
1.634009996,1
1.636010186,0
1.638010260,1
1.640009472,0
1.642010126,1
1.644009858,0
1.646010306,1
1.648010352,0
1.650010654,1
1.652010428,0
1.654010292,1
1.656010586,0
1.658010326,1
1.660012476,0
1.662010590,1
1.664010696,0
1.666010646,1
1.668010168,0
1.670010512,1
1.672010828,0
1.674010316,1
1.676009716,0
1.678010872,1
1.680010896,0
1.682010948,1
1.684010784,0
1.686010942,1
1.688010590,0
1.690010850,1
1.692010790,0
1.694010426,1
1.696010470,0
1.698010230,1
1.700009192,0
1.702010682,1
1.704010976,0
1.706011028,1
1.708010884,0
1.710010604,1
1.712010732,0
1.714010972,1
1.716010954,0
1.718011068,1
1.720010986,0
1.722011560,1
1.724011230,0
1.726011032,1
1.728011034,0
1.730010232,1
1.732010632,0
1.734011018,1
1.736010770,0
1.738010842,1
1.740010118,0
1.742010856,1
1.744011130,0
1.746011390,1
1.748011518,0
1.750011132,1
1.752011094,0
1.754011334,1
1.756011086,0
1.758011014,1
1.760011184,0
1.762011840,1
1.764011406,0
1.766011354,1
1.768010960,0
1.770011054,1
1.772010370,0
1.774010566,1
1.776010236,0
1.778010684,1
1.780011228,0
1.782011322,1
1.784011638,0
1.786011252,1
1.788011130,0
1.790010392,1
1.792010810,0
1.794011300,1
1.796011492,0
1.798011064,1
1.800011588,0
1.802011910,1
1.804011538,0
1.806011528,1
1.808011114,0
1.810011272,1
1.812011438,0
1.814011950,1
1.816011598,0
1.818010546,1
1.820011758,0
1.822011746,1
1.824012000,0
1.826011074,1
1.828011326,0
1.830011920,1
1.832011818,0
1.834011974,1
1.836011894,0
1.838011572,1
1.840017012,0
1.842011668,1
1.844011776,0
1.846011744,1
1.848011768,0
1.850011674,1
1.852011676,0
1.854011936,1
1.856011960,0
1.858011908,1
1.860011912,0
1.862011506,1
1.864012030,0
1.866011560,1
1.868011814,0
1.870010678,1
1.872012222,0
1.874011794,1
1.876012028,0
1.878012018,1
1.880011874,0
1.882011926,1
1.884012200,0
1.886012106,1
1.888012296,0
1.890012264,1
1.892012102,0
1.894011820,1
1.896011908,0
1.898012020,1
1.900011858,0
1.902012098,1
1.904011642,0
1.906012486,1
1.908012530,0
1.910009810,1
1.912012044,0
1.914012200,1
1.916011098,0
1.918012046,1
1.920012112,0
1.922012102,1
1.924012314,0
1.926012052,1
1.928012514,0
1.930012420,1
1.932012174,0
1.934012452,1
1.936012520,0
1.938012216,1
1.940012388,0
1.942011980,1
1.944012234,0
1.946012118,1
1.948011620,0
1.950012652,1
1.952012364,0
1.954012520,1
1.956012044,0
1.958011678,1
1.960012994,0
1.962012524,1
1.964012674,0
1.966012434,1
1.968012834,0
1.970012886,1
1.972012576,0
1.974012940,1
1.976012694,0
1.978012452,1
1.980012768,0
1.982012570,1
1.984012802,0
1.986012418,1
1.988012608,0
1.990012306,1
1.992012620,0
1.994012652,1
1.996012404,0
1.998012500,1
2.000011690,0
2.002012178,1
2.004012932,0
2.006012588,1
2.008012008,0
2.010011872,1
2.012012604,0
2.014012738,1
2.016012618,0
2.018012774,1
2.020012278,0
2.022012308,1
2.024012874,0
2.026013132,1
2.028012698,0
2.030012730,1
2.032013150,0
2.034012598,1
2.036012766,0
2.038012922,1
2.040011696,0
2.042013270,1
2.044012794,0
2.046012844,1
2.048013182,0
2.050012650,1
2.052012966,0
2.054011976,1
2.056013062,0
2.058013032,1
2.060013200,0
2.062012710,1
2.064012256,0
2.066013182,1
2.068013560,0
2.070012904,1
2.072012990,0
2.074012960,1
2.076012898,0
2.078013264,1
2.080013058,0
2.082013174,1
2.084013134,0
2.086012728,1
2.088012668,0
2.090012408,1
2.092012410,0
2.094013004,1
2.096013486,0
2.098013602,1
2.100012710,0
2.102012760,1
2.104013098,0
2.106015294,1
2.108013192,0
2.110012808,1
2.112013520,0
2.114013092,1
2.116013262,0
2.118013500,1
2.120013400,0
2.122013306,1
2.124013454,0
2.126013298,1
2.128013404,0
2.130013478,1
2.132013564,0
2.134013886,1
2.136013702,0
2.138012776,1
2.140012986,0
2.142012912,1
2.144013750,0
2.146013948,1
2.148013930,0
2.150012900,1
2.152013590,0
2.154013808,1
2.156013664,0
2.158014030,1
2.160013948,0
2.162013938,1
2.164014106,0
2.166013992,1
2.168013600,0
2.170013880,1
2.172013946,0
2.174013748,1
2.176013814,0
2.178013740,1
2.180013932,0
2.182013608,1
2.184012904,0
2.186014372,1
2.188014084,0
2.190013760,1
2.192013888,0
2.194013856,1
2.196014088,0
2.198013974,1
2.200013894,0
2.202014196,1
2.204014302,0
2.206013814,1
2.208014066,0
2.210014096,1
2.212013768,0
2.214014172,1
2.216014070,0
2.218013790,1
2.220013252,0
2.222014324,1
2.224013848,0
2.226014026,1
2.228014360,0
2.230013518,1
2.232014250,0
2.234015864,1
2.236014160,0
2.238014460,1
2.240014110,0
2.242014578,1
2.244014228,0
2.246014340,1
2.248014614,0
2.250013668,1
2.252014336,0
2.254014368,1
2.256014558,0
2.258014758,1
2.260014550,0
2.262014206,1
2.264014502,0
2.266014866,1
2.268014786,0
2.270013816,1
2.272013818,0
2.274014726,1
2.276014582,0
2.278014864,1
2.280014720,0
2.282014710,1
2.284014110,0
2.286014390,1
2.288014456,0
2.290014132,1
2.292014572,0
2.294014626,1
2.296014440,0
2.298014596,1
2.300014370,0
2.302014652,1
2.304013758,0
2.306014644,1
2.308014668,0
2.310014720,1
2.312014846,0
2.314014316,1
2.316014672,0
2.318014662,1
2.320014854,0
2.322014572,1
2.324014616,0
2.326014230,1
2.328015046,0
2.330019806,1
2.332014768,0
2.334015216,1
2.336014010,0
2.338014812,1
2.340014940,0
2.342015076,1
2.344014806,0
2.346009630,1
2.348014424,0
2.350014164,1
2.352014228,0
2.354015072,1
2.356014910,0
2.358014732,1
2.360014068,0
2.362014058,1
2.364014936,0
2.366014654,1
2.368015054,0
2.370014856,1
2.372015130,0
2.374014868,1
2.376014956,0
2.378014882,1
2.380014926,0
2.382014978,1
2.384015292,0
2.386014992,1
2.388015140,0
2.390015402,1
2.392014298,0
2.394014998,1
2.396014834,0
2.398014928,1
2.400014556,0
2.402014398,1
2.404015318,0
2.406015058,1
2.408015144,0
2.410014404,1
2.412015470,0
2.414014480,1
2.416015358,0
2.418015494,1
2.420015726,0
2.422015090,1
2.424014488,0
2.426015394,1
2.428015708,0
2.430015534,1
2.432015598,0
2.434015692,1
2.436015694,0
2.438015268,1
2.440015438,0
2.442015302,1
2.444015596,0
2.446015522,1
2.448015630,0
2.450015514,1
2.452015538,0
2.454015364,1
2.456015530,0
2.458015688,1
2.460015794,0
2.462015848,1
2.464015474,0
2.466018506,1
2.468015758,0
2.470016124,1
2.472015854,0
2.474015698,1
2.476015806,0
2.478014920,1
2.480015028,0
2.482015892,1
2.484016020,0
2.486015968,1
2.488016032,0
2.490015626,1
2.492015796,0
2.494016432,1
2.496016100,0
2.498015652,1
2.500015634,0
2.502016060,1
2.504015648,0
2.506015678,1
2.508015870,0
2.510015692,1
2.512015924,0
2.514016248,1
2.516016064,0
2.518015718,1
2.520014930,0
2.522015710,1
2.524016048,0
2.526015954,1
2.528015810,0
2.530015426,1
2.532014970,0
2.534016126,1
2.536016252,0
2.538016096,1
2.540015914,0
2.542015882,1
2.544015008,0
2.546016228,1
2.548016002,0
2.550015990,1
2.552016160,0
2.554016420,1
2.556016236,0
2.558016018,1
2.560016124,0
2.562016134,1
2.564016408,0
2.566016522,1
2.568016068,0
2.570016202,1
2.572016144,0
2.574016174,1
2.576016136,0
2.578016104,1
2.580015982,0
2.582016222,1
2.584016390,0
2.586020506,1
2.588016592,0
2.590016768,1
2.592016314,0
2.594016302,1
2.596016180,0
2.598016378,1
2.600016526,0
2.602016308,1
2.604016540,0
2.606016260,1
2.608015386,0
2.610015854,1
2.612015838,0
2.614015952,1
2.616017016,0
2.618016758,1
2.620016904,0
2.622016518,1
2.624015606,0
2.626016618,1
2.628016620,0
2.630015108,1
2.632016966,0
2.634016892,1
2.636016686,0
2.638016968,1
2.640016554,0
2.642015086,1
2.644017110,0
2.646016890,1
2.648016642,0
2.650016696,1
2.652016636,0
2.654016188,1
2.656016836,0
2.658016950,1
2.660016100,0
2.662015944,1
2.664017050,0
2.666016998,1
2.668017126,0
2.670016948,1
2.672017034,0
2.674016086,1
2.676016840,0
2.678016726,1
2.680017020,0
2.682017176,1
2.684015950,0
2.686017022,1
2.688017170,0
2.690017118,1
2.692017268,0
2.694017214,1
2.696017218,0
2.698016770,1
2.700011480,0
2.702017116,1
2.704017202,0
2.706017338,1
2.708017404,0
2.710017018,1
2.712017064,0
2.714016572,1
2.716016680,0
2.718017066,1
2.720017360,0
2.722017036,1
2.724017518,0
2.726017112,1
2.728017386,0
2.730017460,1
2.732017274,0
2.734017512,1
2.736017266,0
2.738017090,1
2.740017426,0
2.742017228,1
2.744017356,0
2.746017198,1
2.748016514,0
2.750017422,1
2.752017444,0
2.754017580,1
2.756017436,0
2.758017466,1
2.760017388,0
2.762017334,1
2.764017630,0
2.766017452,1
2.768017372,0
2.770017466,1
2.772017656,0
2.774017354,1
2.776017586,0
2.778017554,1
2.780017036,0
2.782017922,1
2.784017736,0
2.786017748,1
2.788017584,0
2.790016572,1
2.792017180,0
2.794017044,1
2.796017880,0
2.798017600,1
2.800017644,0
2.802017798,1
2.804017574,0
2.806017584,1
2.808018150,0
2.810017930,1
2.812017766,0
2.814017672,1
2.816017696,0
2.818017830,1
2.820017668,0
2.822017594,1
2.824017930,0
2.826018066,1
2.828017986,0
2.830018078,1
2.832018124,0
2.834018196,1
2.836017074,0
2.838018148,1
2.840018004,0
2.842017868,1
2.844017308,0
2.846016966,1
2.848018114,0
2.850017958,1
2.852018190,0
2.854017908,1
2.856018098,0
2.858017462,1
2.860016924,0
2.862017996,1
2.864018166,0
2.866018280,1
2.868018242,0
2.870018190,1
2.872018254,0
2.874018098,1
2.876017852,0
2.878018134,1
2.880018094,0
2.882018146,1
2.884018044,0
2.886018096,1
2.888018558,0
2.890018380,1
2.892018216,0
2.894018186,1
2.896018334,0
2.898018158,1
2.900017160,0
2.902018148,1
2.904018152,0
2.906018162,1
2.908018372,0
2.910018654,1
2.912018366,0
2.914018542,1
2.916018608,0
2.918018868,1
2.920018620,0
2.922017818,1
2.924017758,0
2.926017852,1
2.928018772,0
2.930017908,1
2.932018702,0
2.934018838,1
2.936018756,0
2.938017810,1
2.940018042,0
2.942017758,1
2.944018470,0
2.946018042,1
2.948018712,0
2.950018452,1
2.952018518,0
2.954018632,1
2.956018886,0
2.958019020,1
2.960019480,0
2.962018678,1
2.964018620,0
2.966018838,1
2.968018446,0
2.970016830,1
2.972018770,0
2.974018218,1
2.976018264,0
2.978016398,1
2.980018546,0
2.982018912,1
2.984018830,0
2.986018986,1
2.988018448,0
2.990018708,1
2.992018856,0
2.994019116,1
2.996019162,0
2.998019172,1
3.000019134,0
3.002019060,1
3.004019292,0
3.006019030,1
3.008019576,0
3.010019420,1
3.012019256,0
3.014019100,1
3.016019310,0
3.018019404,1
3.020018324,0
3.022019646,1
3.024019252,0
3.026018992,1
3.028019558,0
3.030019548,1
3.032019716,0
3.034019456,1
3.036019272,0
3.038019636,1
3.040018786,0
3.042019128,1
3.044019380,0
3.046019348,1
3.048019082,0
3.050019134,1
3.052019262,0
3.054018668,1
3.056019400,0
3.058019494,1
3.060019414,0
3.062019486,1
3.064019218,0
3.066013978,1
3.068019584,0
3.070019304,1
3.072019286,0
3.074019400,1
3.076019652,0
3.078019328,1
3.080019498,0
3.082019406,1
3.084019366,0
3.086019272,1
3.088019796,0
3.090019722,1
3.092019434,0
3.094019464,1
3.096019696,0
3.098019770,1
3.100019856,0
3.102019554,1
3.104019598,0
3.106018942,1
3.108019506,0
3.110019976,1
3.112019686,0
3.114019802,1
3.116019888,0
3.118019710,1
3.120019796,0
3.122019786,1
3.124019704,0
3.126021882,1
3.128019948,0
3.130016436,1
3.132020252,0
3.134019824,1
3.136019494,0
3.138019858,1
3.140018946,0
3.142019768,1
3.144020062,0
3.146019990,1
3.148020200,0
3.150019918,1
3.152020212,0
3.154020036,1
3.156020248,0
3.158020132,1
3.160020052,0
3.162019750,1
3.164019918,0
3.166020262,1
3.168020266,0
3.170020006,1
3.172019820,0
3.174019832,1
3.176020064,0
3.178019946,1
3.180019826,0
3.182019128,1
3.184019568,0
3.186019392,1
3.188019394,0
3.190019716,1
3.192019468,0
3.194020292,1
3.196020274,0
3.198019806,1
3.200020330,0
3.202020734,1
3.204020550,0
3.206020498,1
3.208020688,0
3.210027094,1
3.212020702,0
3.214020692,1
3.216020404,0
3.218019766,1
3.220020290,0
3.222020488,1
3.224020450,0
3.226020606,1
3.228020484,0
3.230020140,1
3.232020308,0
3.234020632,1
3.236019760,0
3.238019706,1
3.240018960,0
3.242020866,1
3.244021014,0
3.246020192,1
3.248020778,0
3.250020852,1
3.252020936,0
3.254020886,1
3.256020492,0
3.258020856,1
3.260020442,0
3.262020390,1
3.264020892,0
3.266020986,1
3.268020676,0
3.270019812,1
3.272021170,0
3.274020948,1
3.276021036,0
3.278020692,1
3.280020092,0
3.282021476,1
3.284020896,0
3.286020676,1
3.288020138,0
3.290020584,1
3.292020818,0
3.294020826,1
3.296021310,0
3.298021216,1
3.300020156,0
3.302015646,1
3.304021398,0
3.306020804,1
3.308021142,0
3.310021170,1
3.312020986,0
